timestamp,tower_id,active_users,resource_block_util,backhaul_throughput_gbps
1783446328,TOWER_A,483,0.2533,2.143
1783446329,TOWER_B,125,0.0628,0.619
1783446330,TOWER_A,488,0.3069,2.421
1783446331,TOWER_B,97,0.1146,0.456
1783446332,TOWER_A,314,0.1671,1.214
1783446333,TOWER_B,92,0.05,0.352
1783446334,TOWER_A,394,0.238,1.631
1783446335,TOWER_B,125,0.0725,0.613
1783446336,TOWER_A,233,0.1164,0.999
1783446337,TOWER_B,130,0.082,0.428
1783446338,TOWER_A,458,0.2698,1.294
1783446339,TOWER_B,117,0.0602,0.247
1783446340,TOWER_A,263,0.1419,1.137
1783446341,TOWER_B,121,0.1015,0.54
1783446342,TOWER_A,383,0.1964,1.303
1783446343,TOWER_B,120,0.0559,0.244
1783446344,TOWER_A,411,0.2191,1.195
1783446345,TOWER_B,104,0.0918,0.392
1783446346,TOWER_A,321,0.1388,1.551
1783446347,TOWER_B,131,0.0892,0.6
1783446348,TOWER_A,167,0.0922,0.548
1783446349,TOWER_B,75,0.0779,0.297
1783446350,TOWER_A,384,0.2204,1.467
1783446351,TOWER_B,80,0.05,0.305
1783446352,TOWER_A,459,0.2872,1.882
1783446353,TOWER_B,103,0.0525,0.31
1783446354,TOWER_A,306,0.1292,0.84
1783446355,TOWER_B,105,0.0502,0.422
1783446356,TOWER_A,360,0.2007,1.797
1783446357,TOWER_B,105,0.05,0.348
1783446358,TOWER_A,430,0.2083,1.578
1783446359,TOWER_B,102,0.0626,0.451
1783446360,TOWER_A,468,0.2351,2.087
1783446361,TOWER_B,121,0.05,0.491
1783446362,TOWER_A,345,0.2188,1.483
1783446363,TOWER_B,110,0.0545,0.276
1783446364,TOWER_A,264,0.1223,0.58
1783446365,TOWER_B,83,0.05,0.233
1783446366,TOWER_A,309,0.1794,0.881
1783446367,TOWER_B,95,0.0612,0.455
1783446368,TOWER_A,304,0.1822,0.648
1783446369,TOWER_B,129,0.0878,0.305
1783446370,TOWER_A,200,0.1178,0.607
1783446371,TOWER_B,133,0.086,0.624
1783446372,TOWER_A,433,0.231,0.981
1783446373,TOWER_B,123,0.05,0.359
1783446374,TOWER_A,222,0.1505,0.88
1783446375,TOWER_B,99,0.0726,0.309
1783446376,TOWER_A,477,0.2594,1.866
1783446377,TOWER_B,118,0.0523,0.421
1783446378,TOWER_A,490,0.3179,2.161
1783446379,TOWER_B,60,0.05,0.13
1783446380,TOWER_A,259,0.1484,1.134
1783446381,TOWER_B,135,0.0616,0.668
1783446382,TOWER_A,435,0.2334,1.123
1783446383,TOWER_B,124,0.0539,0.476
1783446384,TOWER_A,370,0.1623,1.298
1783446385,TOWER_B,67,0.05,0.323
1783446386,TOWER_A,158,0.1009,0.436
1783446387,TOWER_B,131,0.0595,0.572
1783446388,TOWER_A,231,0.1805,0.878
1783446389,TOWER_B,80,0.0501,0.2
1783446390,TOWER_A,469,0.2639,1.346
1783446391,TOWER_B,133,0.0816,0.382
1783446392,TOWER_A,443,0.2343,1.024
1783446393,TOWER_B,111,0.05,0.489
1783446394,TOWER_A,171,0.0798,0.836
1783446395,TOWER_B,72,0.05,0.269
1783446396,TOWER_A,248,0.149,0.498
1783446397,TOWER_B,102,0.05,0.207
1783446398,TOWER_A,319,0.1896,0.764
1783446399,TOWER_B,111,0.05,0.353
1783446400,TOWER_A,339,0.1754,1.529
1783446401,TOWER_B,123,0.0541,0.284
1783446402,TOWER_A,255,0.0653,0.836
1783446403,TOWER_B,66,0.05,0.26
1783446404,TOWER_A,469,0.2398,1.505
1783446405,TOWER_B,90,0.0591,0.329
1783446406,TOWER_A,414,0.2447,0.959
1783446407,TOWER_B,57,0.05,0.213
1783446408,TOWER_A,317,0.1712,0.71
1783446409,TOWER_B,80,0.05,0.181
1783446410,TOWER_A,493,0.2804,1.711
1783446411,TOWER_B,98,0.05,0.208
1783446412,TOWER_A,262,0.1349,1.022
1783446413,TOWER_B,106,0.0546,0.482
1783446414,TOWER_A,477,0.2707,2.068
1783446415,TOWER_B,97,0.055,0.282
1783446416,TOWER_A,455,0.2606,1.793
1783446417,TOWER_B,102,0.071,0.359
1783446418,TOWER_A,297,0.1623,1.321
1783446419,TOWER_B,111,0.05,0.533
1783446420,TOWER_A,486,0.238,1.269
1783446421,TOWER_B,139,0.062,0.287
1783446422,TOWER_A,369,0.2095,1.401
1783446423,TOWER_B,99,0.05,0.453
1783446424,TOWER_A,182,0.1226,0.839
1783446425,TOWER_B,104,0.05,0.396
1783446426,TOWER_A,369,0.2027,1.731
1783446427,TOWER_B,58,0.0617,0.12
1783446428,TOWER_A,468,0.2564,2.067
1783446429,TOWER_B,81,0.05,0.25
1783446430,TOWER_A,334,0.1354,0.817
1783446431,TOWER_B,136,0.0837,0.292
1783446432,TOWER_A,342,0.1962,1.639
1783446433,TOWER_B,145,0.0921,0.331
1783446434,TOWER_A,329,0.185,0.758
1783446435,TOWER_B,106,0.05,0.32
1783446436,TOWER_A,155,0.0704,0.397
1783446437,TOWER_B,149,0.0836,0.432
1783446438,TOWER_A,158,0.1076,0.563
1783446439,TOWER_B,54,0.05,0.143
1783446440,TOWER_A,210,0.1354,0.865
1783446441,TOWER_B,114,0.0575,0.355
1783446442,TOWER_A,312,0.17,0.747
1783446443,TOWER_B,99,0.0689,0.461
1783446444,TOWER_A,248,0.1344,0.828
1783446445,TOWER_B,144,0.0845,0.381
1783446446,TOWER_A,297,0.1323,1.145
1783446447,TOWER_B,112,0.0567,0.427
1783446448,TOWER_A,207,0.1251,0.767
1783446449,TOWER_B,144,0.0722,0.45
1783446450,TOWER_A,364,0.1956,1.165
1783446451,TOWER_B,107,0.0627,0.259
1783446452,TOWER_A,465,0.267,1.61
1783446453,TOWER_B,106,0.0893,0.464
1783446454,TOWER_A,331,0.1927,0.883
1783446455,TOWER_B,58,0.0593,0.231
1783446456,TOWER_A,184,0.1003,0.612
1783446457,TOWER_B,146,0.05,0.395
1783446458,TOWER_A,452,0.2425,0.904
1783446459,TOWER_B,148,0.066,0.562
1783446460,TOWER_A,195,0.1071,0.466
1783446461,TOWER_B,75,0.05,0.212
1783446462,TOWER_A,236,0.1364,1.01
1783446463,TOWER_B,112,0.05,0.379
1783446464,TOWER_A,153,0.0893,0.508
1783446465,TOWER_B,115,0.0713,0.389
1783446466,TOWER_A,415,0.2313,1.664
1783446467,TOWER_B,83,0.05,0.374
1783446468,TOWER_A,256,0.1601,0.839
1783446469,TOWER_B,130,0.0846,0.481
1783446470,TOWER_A,224,0.1206,1.097
1783446471,TOWER_B,55,0.05,0.169
1783446472,TOWER_A,189,0.111,0.855
1783446473,TOWER_B,111,0.0511,0.454
1783446474,TOWER_A,276,0.1423,0.973
1783446475,TOWER_B,144,0.0784,0.385
1783446476,TOWER_A,332,0.2136,1.555
1783446477,TOWER_B,141,0.0813,0.45
1783446478,TOWER_A,268,0.1467,1.206
1783446479,TOWER_B,134,0.064,0.426
1783446480,TOWER_A,222,0.124,0.849
1783446481,TOWER_B,124,0.0689,0.368
1783446482,TOWER_A,189,0.1171,0.779
1783446483,TOWER_B,90,0.05,0.249
1783446484,TOWER_A,353,0.1799,0.754
1783446485,TOWER_B,103,0.05,0.291
1783446486,TOWER_A,245,0.1344,0.916
1783446487,TOWER_B,85,0.05,0.205
1783446488,TOWER_A,428,0.2376,0.937
1783446489,TOWER_B,140,0.058,0.403
1783446490,TOWER_A,292,0.1605,0.688
1783446491,TOWER_B,133,0.0876,0.611
1783446492,TOWER_A,264,0.1721,1.24
1783446493,TOWER_B,133,0.0936,0.439
1783446494,TOWER_A,282,0.1555,0.583
1783446495,TOWER_B,51,0.05,0.222
1783446496,TOWER_A,317,0.201,1.222
1783446497,TOWER_B,76,0.05,0.196
1783446498,TOWER_A,394,0.2362,1.879
1783446499,TOWER_B,67,0.05,0.206
1783446500,TOWER_A,426,0.1887,1.518
1783446501,TOWER_B,126,0.0833,0.277
1783446502,TOWER_A,408,0.246,1.472
1783446503,TOWER_B,131,0.0662,0.491
1783446504,TOWER_A,195,0.0852,0.55
1783446505,TOWER_B,60,0.0638,0.25
1783446506,TOWER_A,495,0.2721,1.962
1783446507,TOWER_B,127,0.0637,0.399
1783446508,TOWER_A,484,0.2779,1.602
1783446509,TOWER_B,93,0.1064,0.32
1783446510,TOWER_A,386,0.2241,0.907
1783446511,TOWER_B,53,0.05,0.22
1783446512,TOWER_A,202,0.1136,0.439
1783446513,TOWER_B,126,0.1031,0.394
1783446514,TOWER_A,297,0.1755,0.963
1783446515,TOWER_B,132,0.0906,0.382
1783446516,TOWER_A,336,0.1927,0.813
1783446517,TOWER_B,92,0.0618,0.4
1783446518,TOWER_A,170,0.0889,0.636
1783446519,TOWER_B,88,0.0523,0.197
1783446520,TOWER_A,239,0.1191,1.175
1783446521,TOWER_B,108,0.05,0.383
1783446522,TOWER_A,382,0.222,1.749
1783446523,TOWER_B,74,0.05,0.207
1783446524,TOWER_A,364,0.2048,1.587
1783446525,TOWER_B,128,0.0638,0.545
1783446526,TOWER_A,200,0.0886,0.527
1783446527,TOWER_B,133,0.0784,0.297
1783446528,TOWER_A,302,0.1833,0.651
1783446529,TOWER_B,130,0.05,0.491
1783446530,TOWER_A,473,0.275,0.981
1783446531,TOWER_B,104,0.05,0.369
1783446532,TOWER_A,265,0.1743,0.571
1783446533,TOWER_B,114,0.0747,0.323
1783446534,TOWER_A,363,0.1754,1.781
1783446535,TOWER_B,142,0.0959,0.572
1783446536,TOWER_A,488,0.2588,1.683
1783446537,TOWER_B,132,0.054,0.272
1783446538,TOWER_A,286,0.1733,0.883
1783446539,TOWER_B,143,0.1036,0.324
1783446540,TOWER_A,434,0.2506,1.857
1783446541,TOWER_B,74,0.05,0.269
1783446542,TOWER_A,220,0.1256,0.755
1783446543,TOWER_B,141,0.0667,0.699
1783446544,TOWER_A,394,0.2154,1.639
1783446545,TOWER_B,86,0.0559,0.377
1783446546,TOWER_A,187,0.0754,0.777
1783446547,TOWER_B,124,0.0778,0.48
1783446548,TOWER_A,365,0.1745,1.51
1783446549,TOWER_B,129,0.05,0.261
1783446550,TOWER_A,276,0.1664,1.345
1783446551,TOWER_B,131,0.0559,0.4
1783446552,TOWER_A,221,0.103,1.052
1783446553,TOWER_B,103,0.0513,0.274
1783446554,TOWER_A,375,0.1965,0.846
1783446555,TOWER_B,122,0.0724,0.575
1783446556,TOWER_A,464,0.2613,2.044
1783446557,TOWER_B,77,0.05,0.319
1783446558,TOWER_A,433,0.2063,1.447
1783446559,TOWER_B,140,0.0737,0.427
1783446560,TOWER_A,451,0.2726,2.209
1783446561,TOWER_B,101,0.0548,0.253
1783446562,TOWER_A,395,0.2125,1.525
1783446563,TOWER_B,113,0.0974,0.446
1783446564,TOWER_A,220,0.1373,0.482
1783446565,TOWER_B,87,0.05,0.243
1783446566,TOWER_A,344,0.1855,0.856
1783446567,TOWER_B,93,0.0561,0.201
1783446568,TOWER_A,187,0.0825,0.705
1783446569,TOWER_B,136,0.0697,0.519
1783446570,TOWER_A,266,0.1482,0.676
1783446571,TOWER_B,111,0.0572,0.443
1783446572,TOWER_A,387,0.1908,1.098
1783446573,TOWER_B,135,0.1044,0.644
1783446574,TOWER_A,353,0.2014,1.103
1783446575,TOWER_B,117,0.05,0.282
1783446576,TOWER_A,468,0.2775,2.042
1783446577,TOWER_B,145,0.0789,0.527
1783446578,TOWER_A,154,0.1054,0.714
1783446579,TOWER_B,137,0.074,0.54
1783446580,TOWER_A,306,0.1405,1.465
1783446581,TOWER_B,87,0.05,0.346
1783446582,TOWER_A,256,0.165,1.274
1783446583,TOWER_B,99,0.0757,0.343
1783446584,TOWER_A,377,0.1829,1.857
1783446585,TOWER_B,110,0.089,0.264
1783446586,TOWER_A,291,0.1822,0.975
1783446587,TOWER_B,77,0.05,0.175
1783446588,TOWER_A,463,0.2557,1.233
1783446589,TOWER_B,119,0.05,0.261
1783446590,TOWER_A,321,0.1643,1.475
1783446591,TOWER_B,146,0.0769,0.722
1783446592,TOWER_A,295,0.1701,1.198
1783446593,TOWER_B,80,0.05,0.222
1783446594,TOWER_A,156,0.0894,0.618
1783446595,TOWER_B,106,0.05,0.482
1783446596,TOWER_A,492,0.2798,1.609
1783446597,TOWER_B,59,0.0664,0.128
1783446598,TOWER_A,450,0.2588,2.064
1783446599,TOWER_B,61,0.05,0.126
1783446600,TOWER_A,165,0.0769,0.598
1783446601,TOWER_B,56,0.05,0.208
1783446602,TOWER_A,469,0.2343,1.013
1783446603,TOWER_B,137,0.05,0.456
1783446604,TOWER_A,186,0.1019,0.842
1783446605,TOWER_B,77,0.0539,0.352
1783446606,TOWER_A,302,0.1507,0.97
1783446607,TOWER_B,124,0.0928,0.345
1783446608,TOWER_A,414,0.2188,1.237
1783446609,TOWER_B,145,0.0788,0.304
1783446610,TOWER_A,332,0.2034,0.769
1783446611,TOWER_B,69,0.05,0.156
1783446612,TOWER_A,305,0.182,0.896
1783446613,TOWER_B,141,0.0898,0.569
1783446614,TOWER_A,286,0.1454,1.292
1783446615,TOWER_B,114,0.0504,0.301
1783446616,TOWER_A,239,0.1572,1.016
1783446617,TOWER_B,76,0.0686,0.321
1783446618,TOWER_A,367,0.2164,1.442
1783446619,TOWER_B,65,0.05,0.171
1783446620,TOWER_A,479,0.2835,2.347
1783446621,TOWER_B,85,0.05,0.267
1783446622,TOWER_A,335,0.1607,0.933
1783446623,TOWER_B,119,0.0534,0.44
1783446624,TOWER_A,358,0.1944,0.76
1783446625,TOWER_B,59,0.0545,0.123
1783446626,TOWER_A,200,0.0951,0.445
1783446627,TOWER_B,93,0.05,0.315
1783446628,TOWER_A,437,0.2331,1.096
1783446629,TOWER_B,68,0.05,0.288
1783446630,TOWER_A,237,0.1451,1.136
1783446631,TOWER_B,123,0.0797,0.594
1783446632,TOWER_A,285,0.1133,0.584
1783446633,TOWER_B,139,0.0701,0.362
1783446634,TOWER_A,307,0.173,0.946
1783446635,TOWER_B,147,0.0643,0.581
1783446636,TOWER_A,431,0.2238,1.993
1783446637,TOWER_B,114,0.0758,0.558
1783446638,TOWER_A,304,0.1826,0.728
1783446639,TOWER_B,123,0.0648,0.307
1783446640,TOWER_A,369,0.213,0.744
1783446641,TOWER_B,111,0.0709,0.497
1783446642,TOWER_A,316,0.1536,1.439
1783446643,TOWER_B,82,0.05,0.396
1783446644,TOWER_A,471,0.2538,1.313
1783446645,TOWER_B,139,0.0634,0.503
1783446646,TOWER_A,328,0.1703,1.22
1783446647,TOWER_B,147,0.0798,0.669
1783446648,TOWER_A,478,0.2637,1.687
1783446649,TOWER_B,86,0.05,0.283
1783446650,TOWER_A,199,0.1125,0.589
1783446651,TOWER_B,62,0.05,0.284
1783446652,TOWER_A,450,0.2545,1.012
1783446653,TOWER_B,143,0.0666,0.326
1783446654,TOWER_A,236,0.1184,1.022
1783446655,TOWER_B,137,0.0683,0.664
1783446656,TOWER_A,182,0.1225,0.751
1783446657,TOWER_B,147,0.0733,0.412
1783446658,TOWER_A,424,0.2578,1.173
1783446659,TOWER_B,86,0.0673,0.302
1783446660,TOWER_A,290,0.1543,1.089
1783446661,TOWER_B,68,0.05,0.172
1783446662,TOWER_A,355,0.1877,1.506
1783446663,TOWER_B,115,0.061,0.288
1783446664,TOWER_A,373,0.196,1.574
1783446665,TOWER_B,79,0.0586,0.315
1783446666,TOWER_A,262,0.1326,1.076
1783446667,TOWER_B,135,0.0923,0.66
1783446668,TOWER_A,427,0.2186,2.079
1783446669,TOWER_B,81,0.05,0.394
1783446670,TOWER_A,154,0.05,0.548
1783446671,TOWER_B,82,0.05,0.207
1783446672,TOWER_A,361,0.1844,1.793
1783446673,TOWER_B,89,0.05,0.236
1783446674,TOWER_A,405,0.2447,0.884
1783446675,TOWER_B,64,0.05,0.19
1783446676,TOWER_A,483,0.229,1.632
1783446677,TOWER_B,119,0.0774,0.467
1783446678,TOWER_A,179,0.1262,0.456
1783446679,TOWER_B,149,0.0918,0.386
1783446680,TOWER_A,496,0.2622,2.043
1783446681,TOWER_B,129,0.0751,0.333
1783446682,TOWER_A,231,0.1123,0.804
1783446683,TOWER_B,134,0.055,0.57
1783446684,TOWER_A,385,0.2099,1.356
1783446685,TOWER_B,147,0.0805,0.427
1783446686,TOWER_A,493,0.2698,1.556
1783446687,TOWER_B,87,0.0818,0.295
1783446688,TOWER_A,472,0.2631,1.859
1783446689,TOWER_B,148,0.1014,0.501
1783446690,TOWER_A,402,0.268,1.282
1783446691,TOWER_B,146,0.0716,0.636
1783446692,TOWER_A,267,0.1513,0.768
1783446693,TOWER_B,57,0.05,0.12
1783446694,TOWER_A,179,0.1019,0.859
1783446695,TOWER_B,125,0.0639,0.535
1783446696,TOWER_A,260,0.1913,1.222
1783446697,TOWER_B,88,0.0729,0.36
1783446698,TOWER_A,403,0.1819,1.01
1783446699,TOWER_B,109,0.0877,0.393
1783446700,TOWER_A,348,0.2253,0.788
1783446701,TOWER_B,109,0.0845,0.501
1783446702,TOWER_A,444,0.2617,1.675
1783446703,TOWER_B,105,0.0894,0.522
1783446704,TOWER_A,491,0.2904,1.742
1783446705,TOWER_B,67,0.05,0.195
1783446706,TOWER_A,446,0.2505,1.891
1783446707,TOWER_B,97,0.05,0.41
1783446708,TOWER_A,436,0.2148,1.198
1783446709,TOWER_B,70,0.0543,0.321
1783446710,TOWER_A,393,0.2334,1.332
1783446711,TOWER_B,105,0.0575,0.342
1783446712,TOWER_A,370,0.1884,0.797
1783446713,TOWER_B,140,0.0552,0.335
1783446714,TOWER_A,305,0.1622,1.388
1783446715,TOWER_B,61,0.05,0.179
1783446716,TOWER_A,385,0.2587,0.949
1783446717,TOWER_B,55,0.05,0.145
1783446718,TOWER_A,469,0.2663,1.26
1783446719,TOWER_B,80,0.067,0.359
1783446720,TOWER_A,168,0.0921,0.46
1783446721,TOWER_B,147,0.089,0.494
1783446722,TOWER_A,364,0.2187,1.599
1783446723,TOWER_B,120,0.0887,0.581
1783446724,TOWER_A,263,0.1472,0.907
1783446725,TOWER_B,110,0.0515,0.247
1783446726,TOWER_A,349,0.198,0.739
1783446727,TOWER_B,144,0.05,0.711
1783446728,TOWER_A,174,0.1025,0.574
1783446729,TOWER_B,117,0.0823,0.519
1783446730,TOWER_A,270,0.184,0.606
1783446731,TOWER_B,106,0.0774,0.298
1783446732,TOWER_A,379,0.1592,0.912
1783446733,TOWER_B,110,0.0889,0.496
1783446734,TOWER_A,248,0.1671,1.071
1783446735,TOWER_B,66,0.05,0.202
1783446736,TOWER_A,495,0.267,2.348
1783446737,TOWER_B,78,0.0721,0.179
1783446738,TOWER_A,152,0.0856,0.756
1783446739,TOWER_B,116,0.0527,0.412
1783446740,TOWER_A,410,0.2127,1.869
1783446741,TOWER_B,108,0.1127,0.38
1783446742,TOWER_A,403,0.2396,1.689
1783446743,TOWER_B,137,0.0705,0.351
1783446744,TOWER_A,169,0.1225,0.724
1783446745,TOWER_B,52,0.05,0.202
1783446746,TOWER_A,353,0.2203,1.035
1783446747,TOWER_B,76,0.0538,0.357
1783446748,TOWER_A,443,0.2393,1.657
1783446749,TOWER_B,50,0.05,0.201
1783446750,TOWER_A,277,0.1647,1.061
1783446751,TOWER_B,128,0.0871,0.521
1783446752,TOWER_A,441,0.2776,2.026
1783446753,TOWER_B,127,0.1148,0.339
1783446754,TOWER_A,323,0.1877,0.846
1783446755,TOWER_B,53,0.05,0.132
1783446756,TOWER_A,370,0.2231,1.124
1783446757,TOWER_B,53,0.05,0.161
1783446758,TOWER_A,186,0.0695,0.771
1783446759,TOWER_B,138,0.0905,0.535
1783446760,TOWER_A,459,0.2638,2.102
1783446761,TOWER_B,124,0.0528,0.445
1783446762,TOWER_A,298,0.1418,0.805
1783446763,TOWER_B,82,0.0735,0.212
1783446764,TOWER_A,241,0.144,0.81
1783446765,TOWER_B,60,0.05,0.264
1783446766,TOWER_A,219,0.1349,0.842
1783446767,TOWER_B,125,0.061,0.468
1783446768,TOWER_A,233,0.1403,0.598
1783446769,TOWER_B,128,0.0774,0.574
1783446770,TOWER_A,354,0.1454,1.539
1783446771,TOWER_B,106,0.0611,0.51
1783446772,TOWER_A,416,0.2278,0.957
1783446773,TOWER_B,75,0.05,0.326
1783446774,TOWER_A,237,0.1064,0.949
1783446775,TOWER_B,137,0.0718,0.558
1783446776,TOWER_A,401,0.2157,1.683
1783446777,TOWER_B,75,0.0547,0.332
1783446778,TOWER_A,360,0.1971,1.388
1783446779,TOWER_B,103,0.059,0.35
1783446780,TOWER_A,492,0.2799,1.942
1783446781,TOWER_B,76,0.05,0.369
1783446782,TOWER_A,180,0.0801,0.595
1783446783,TOWER_B,149,0.127,0.705
1783446784,TOWER_A,465,0.2568,2.306
1783446785,TOWER_B,140,0.0736,0.438
1783446786,TOWER_A,210,0.1449,0.538
1783446787,TOWER_B,103,0.095,0.415
1783446788,TOWER_A,216,0.1489,0.589
1783446789,TOWER_B,51,0.05,0.148
1783446790,TOWER_A,375,0.2153,1.372
1783446791,TOWER_B,136,0.0872,0.481
1783446792,TOWER_A,484,0.3136,1.977
1783446793,TOWER_B,58,0.05,0.263
1783446794,TOWER_A,476,0.2737,2.285
1783446795,TOWER_B,121,0.05,0.244
1783446796,TOWER_A,216,0.0949,0.675
1783446797,TOWER_B,113,0.0899,0.443
1783446798,TOWER_A,277,0.1608,1.344
1783446799,TOWER_B,114,0.0723,0.36
1783446800,TOWER_A,260,0.1659,0.772
1783446801,TOWER_B,70,0.0559,0.302
1783446802,TOWER_A,421,0.2483,1.697
1783446803,TOWER_B,75,0.0544,0.161
1783446804,TOWER_A,450,0.2528,1.613
1783446805,TOWER_B,64,0.05,0.259
1783446806,TOWER_A,183,0.12,0.457
1783446807,TOWER_B,92,0.05,0.344
1783446808,TOWER_A,361,0.1795,0.781
1783446809,TOWER_B,138,0.0783,0.416
1783446810,TOWER_A,449,0.2524,0.899
1783446811,TOWER_B,88,0.0634,0.338
1783446812,TOWER_A,274,0.1478,0.756
1783446813,TOWER_B,65,0.05,0.312
1783446814,TOWER_A,252,0.152,0.508
1783446815,TOWER_B,84,0.0736,0.392
1783446816,TOWER_A,355,0.2045,1.713
1783446817,TOWER_B,72,0.05,0.149
1783446818,TOWER_A,269,0.155,0.882
1783446819,TOWER_B,61,0.05,0.287
1783446820,TOWER_A,319,0.1764,1.388
1783446821,TOWER_B,105,0.05,0.231
1783446822,TOWER_A,184,0.0936,0.88
1783446823,TOWER_B,101,0.0663,0.244
1783446824,TOWER_A,480,0.261,2.319
1783446825,TOWER_B,68,0.0608,0.275
1783446826,TOWER_A,395,0.2238,0.949
1783446827,TOWER_B,147,0.0592,0.598
1783446828,TOWER_A,489,0.2897,2.344
1783446829,TOWER_B,111,0.0755,0.428
1783446830,TOWER_A,458,0.2799,1.02
1783446831,TOWER_B,57,0.05,0.151
1783446832,TOWER_A,207,0.1244,0.715
1783446833,TOWER_B,136,0.0557,0.439
1783446834,TOWER_A,455,0.269,1.581
1783446835,TOWER_B,60,0.05,0.209
1783446836,TOWER_A,290,0.1772,1.093
1783446837,TOWER_B,92,0.0957,0.428
1783446838,TOWER_A,260,0.1686,1.181
1783446839,TOWER_B,147,0.0874,0.576
1783446840,TOWER_A,312,0.1748,1.374
1783446841,TOWER_B,118,0.0572,0.298
1783446842,TOWER_A,260,0.098,0.607
1783446843,TOWER_B,86,0.05,0.307
1783446844,TOWER_A,301,0.1569,1.19
1783446845,TOWER_B,74,0.05,0.216
1783446846,TOWER_A,214,0.1086,1.022
1783446847,TOWER_B,137,0.0805,0.318
1783446848,TOWER_A,255,0.1666,0.712
1783446849,TOWER_B,73,0.05,0.357
1783446850,TOWER_A,365,0.1811,1.575
1783446851,TOWER_B,83,0.05,0.216
1783446852,TOWER_A,240,0.1471,0.746
1783446853,TOWER_B,131,0.0878,0.547
1783446854,TOWER_A,175,0.0798,0.832
1783446855,TOWER_B,61,0.05,0.168
1783446856,TOWER_A,306,0.1881,1.484
1783446857,TOWER_B,91,0.085,0.351
1783446858,TOWER_A,221,0.1263,0.706
1783446859,TOWER_B,128,0.0671,0.621
1783446860,TOWER_A,193,0.0998,0.923
1783446861,TOWER_B,61,0.05,0.196
1783446862,TOWER_A,239,0.1606,0.737
1783446863,TOWER_B,78,0.05,0.385
1783446864,TOWER_A,282,0.1667,1.265
1783446865,TOWER_B,142,0.0505,0.479
1783446866,TOWER_A,310,0.2041,1.229
1783446867,TOWER_B,69,0.0651,0.203
1783446868,TOWER_A,381,0.2057,1.859
